junction	numReads	p_predicted	p_value
chr10|ADAM12:127724714|ADAM12:127726918|rev|-	1	0.859095283517591	0.0342121402699809
chr10|ANKRD26:27311486|ANKRD26:27337908|rev|-	1	0.845046658568784	0.0414443739494878
chr10|ARHGAP12:32115231|ARHGAP12:32199491|rev|-	1	0.867950937283599	0.0298894011026135
chr10|ARHGAP12:32197099|ARHGAP12:32199491|rev|-	1	0.88091197721728	0.0239416063205058
chr10|ATE1:123600596|ATE1:123683844|rev|-	1	0.888430727562585	0.0207212845298543
chr10|ATP5C1:7844817|ATP5C1:7839009|rev|+	2	0.965206877038156	0.0026806656844641
chr10|C10orf137:127442414|C10orf137:127441367|rev|+	1	0.875181424180733	0.0265123934333984
chr10|C10orf68:32873232|CCDC7:32832227|rev|+	4	0.997005618046059	1.51934011171497e-05
chr10|C10orf68:32873232|CCDC7:32854485|rev|+	1	0.746175725349994	0.10010864377699
chr10|C10orf76:103699619|C10orf76:103717489|rev|-	1	0.892859352696457	0.018910734284993
chr10|CACUL1:120450776|CACUL1:120454742|rev|-	1	0.8443825952575	0.0417965495284639
chr10|CAMK1D:12858327|CAMK1D:12833156|rev|+	1	0.88529537636102	0.0220423484876517
chr10|DHTKD1:12136270|CELF2:11207448|rev|+	1	0.000232265138444772	0.349964538439437
chr10|DNAJC1:22171210|DNAJC1:22209892|rev|-	1	0.031306968665553	0.349950602533993
chr10|DNMBP:101648581|DNMBP:101658517|rev|-	1	0.837888504148541	0.045285379814626
chr10|DOCK1:128798571|DOCK1:128768965|rev|+	1	0.805838523781538	0.0635036665968945
chr10|DOCK1:128908618|DOCK1:128904494|rev|+	1	0.875181790057462	0.0265122262344687
chr10|DOCK1:128926028|DOCK1:128768965|rev|+	2	0.207442733489358	0.245244311633205
chr10|DOCK1:129055693|DOCK1:129046271|rev|+	1	0.875181790057462	0.0265122262344687
chr10|ERCC6:50701162|ERCC6:50714058|rev|-	1	0.848516253076236	0.0396187981662525
chr10|FAM178A:102703885|FAM178A:102697158|rev|+	1	0.845046658568784	0.0414443739494878
chr10|FAM188A:15858833|FAM188A:15889942|rev|-	1	0.859094891685335	0.0342123358066977
chr10|FAM53B:126370175|FAM53B:126370948|dup|-	1	0.767956359889088	0.0864988806536874
chr10|FRA10AC1:95430526|FRA10AC1:95447206|rev|-	1	0.0777070721258993	0.349472020649131
chr10|FRA10AC1:95436409|FRA10AC1:95447206|rev|-	1	0.0384747751084827	0.349931282832741
chr10|FRMD4A:13701322|FRMD4A:13705509|rev|-	1	0.859094891685335	0.0342123358066977
chr10|GBF1:104123555|GBF1:104123012|rev|+	1	0.787848806082484	0.0742799651112418
chr10|GDI2:5836847|GDI2:5842668|rev|-	1	0.0486261688141368	0.349879100899974
chr10|HERC4:69714351|HERC4:69773943|rev|-	1	0.821930243090311	0.0541703340223242
chr10|HERC4:69726439|HERC4:69773943|rev|-	1	0.844993721240062	0.041472416287214
chr10|HERC4:69748419|HERC4:69773943|rev|-	1	0.821930243090311	0.0541703340223242
chr10|HERC4:69748419|HERC4:69804320|rev|-	1	0.867951702651684	0.0298890361375371
chr10|HK1:71158584|HK1:71151880|rev|+	1	0.677458853217308	0.14332157272559
chr10|IDE:94291504|IDE:94297307|rev|-	1	0.859095283517591	0.0342121402699809
chr10|KAT6B:76603236|KAT6B:76598440|rev|+	1	0.000630116112758301	0.349964538439437
chr10|KIN:7820800|KIN:7822270|rev|-	1	0.880912337710759	0.0239414476808134
chr10|LARP4B:875324|LARP4B:890995|rev|-	1	0.859095283517591	0.0342121402699809
chr10|LCOR:98667504|LCOR:98667021|rev|+	2	0.979835296681942	0.000529632627625366
chr10|LOC100505761:104211944|GBF1:104103807|rev|+	1	5.31845164243284e-05	0.349964538439437
chr10|MCMBP:121612561|MCMBP:121619396|rev|-	1	0.770670784615418	0.0848170645697165
chr10|MMS19:99236439|MMS19:99238146|rev|-	1	0.867951326456707	0.0298892155255775
